state,code,name,zone,address,latitude,longitude
Rajasthan,BDHL,Badhal,NWR,"Kishangarh Renwal, Rajasthan",75.4516454,27.2520587
Uttar Pradesh,KHH,KICHHA,NER,"Kichha, Uttar Pradesh",79.519746,28.913427000000002
Rajasthan,SRKN,Sherekan,NWR,"MDR 89, Rajasthan",74.43499088287354,29.55519806064484
Rajasthan,BKKA,Bhukarka,NWR,"Bhukarka, Rajasthan",74.75103096105158,29.238227312503696
Rajasthan,NHR,Nohar,NWR,"State Highway 36, Rajasthan",74.77362781763077,29.192562738768984
Tamil Nadu,PRGD,Perungudi,SR,"Chennai, Tamil Nadu",80.231363,12.975217
Haryana,KNNA,Khinaniyan,NWR,"State Highway 23, Haryana",74.7179570607841,29.345637263205944
,JKR,JAULKHERA,,,78.216684,21.838466
,BYS,BARSALI,,,78.03136099999999,21.909813
,GW,GIRWAR,,,78.936311,23.838185999999997
,DGD,DANGIDHAR,,,79.019912,23.871771000000003
Madhya Pradesh,DOD,DHODHAR,WR,"Dhodar, Madhya Pradesh",75.10354600000001,23.770740999999997
,GAJ,GANESHGANJ,,,79.074633,23.895862
West Bengal,JNM,Jayanagar Majilpur Halt,ER,"Jaynagar, West Bengal",88.415324,22.168635
Rajasthan,NSD,NASIRABAD,NWR,"Nasirabad, Rajasthan",74.71699100000001,26.294459999999997
,PHA,PATHARIA,,,79.192899,23.905726
Andhra Pradesh,NZB,NIZAMABAD,SCR,"Nizamabad, Andhra Pradesh",78.103238,18.679164999999998
,RJO,RAJENDRA PUL,,,86.01054599999999,25.387446999999998
Tamil Nadu,ADT,ADUTURAI,SR,"Aduthurai, Tamil Nadu",79.478668,11.009165
Tamil Nadu,KMU,KUMBAKONAM,SR,"Kumbakonam, Tamil Nadu",79.388644,10.952962
Tamil Nadu,MNM,MANAMADURAI JN,SR,"Sivaganga, Tamil Nadu",78.45351,9.681538999999999
,GKP,GORAKHPUR JN,,,83.381499,26.759311
,VRM,VARNAMA,,,73.16928300000001,22.184274000000002
,GKC,GORAKHPUR CANT,,,83.416821,26.750649
,ITA,ITOLA,,,73.156746,22.149889
Uttar Pradesh,BTU,BARAUT,NR,"Baraut, Uttar Pradesh",77.273006,29.09692
Punjab,MOGA,Moga,NR,"Moga, Punjab",75.16846699999999,30.817296
,SIOB,SAMAKHIALI JN,,,70.503394,23.309819
Rajasthan,RDK,Rasheedpura Khori,NWR,"MDR 87, Rajasthan",75.087121,27.713786000000002
,PVD,PEDDAVADIAPUDI,,,80.612645,16.414205000000003
,YLM,ELLAMANCHILI,,,82.85262,17.553652000000003
,CHPT,Chatrappatti,,,77.655113,10.476970999999999
,JLD,JARWAL ROAD,,,81.540406,27.120389
,BRJN,BRAJRAJNAGAR,,,83.923653,21.822718000000002
,CLJ,COLONELGANJ,,,81.69417800000001,27.137698
,KTHL,KATHOLA,,,81.8556626477,27.1465555756
,MND,MUNDERWA,,,82.903373,26.776435
Maharashtra,SNSI,SAINAGAR SHIRDI,CR,"Near New Bus Stand Shirdi Sainagar, Maharashtra",74.4806877,19.780792299999998
Gujarat,DLJ,DHOLA JN,WR,"Dhola, Gujarat",71.738273,21.822549000000002
,PGW,PHAGWARA JN,,,75.7655019775,31.217555749800002
Rajasthan,JUP,Jhunpa,?,"NH 65, Rajasthan",75.521553,28.777449
,JSG,JHARSUGUDA JN,,,84.017427,21.862274
,KYW,KARCHHUE,,,84.20715351199999,26.2311244405
,MHRN,MAHENDRANATH,,,84.509909,26.000739
,TKVR,TAPPA KHAJURIAY,,,84.688889,25.807401000000002
,DPI,DODDAMPATTI,,,78.42225009,12.18134581
Rajasthan,AQG,ASHAPURA GOMAT,NWR,"National Highway 15, Rajasthan",71.892665,26.950232
,NEA,NEYKKARAPATTI,,,78.09669699999999,11.612765
,GRL,GORAUL,,,85.318477,25.931048999999998
,KHI,KURHANI,,,85.339288,25.979631
,VNJ,TIRUPPUR VANJIPALAYAM,,,77.26580200000001,11.117790999999999
,CBF,COIMBATORE NORTH,,,76.954304,11.019937
,UMB,AMBALA CANT JN,,,76.826966,30.338918
,SRO,SIRATHU,,,81.31786,25.650642
,SJT,SHUJAATPUR,,,81.401934,25.605607000000003
,BDNP,BIDANPUR,,,81.44201699999999,25.585017
Rajasthan,MTPC,MOTIPURA CHAUKI,WCR,"Motipura, Rajasthan",77.04829951629999,24.6093382288
,HTZ,HATHIDAH JN,,,85.987826,25.367027
Assam,DDNI,DUDHNOI,NFR,"Dudhnoi Railway Station, Assam",90.76188,26.001459
,RDE,RUNDHI,,,77.350991,28.067751
Uttar Pradesh,IJ,ITAUNJA,NER,"Itaunja, Uttar Pradesh",80.89123400000001,27.081066999999997
Rajasthan,RMX,Ramsar,NWR,"Barmer, Rajasthan",70.866078,25.722252
Uttar Pradesh,PBE,PILIBHIT JN,NER,"Pilibhit, Uttar Pradesh",79.813946,28.614977999999997
Rajasthan,RMB,Rampura Beri,NWR,"Rampura Bhal, Rajasthan",75.64547982849999,28.5301320576
,MGS,MUGHAL SARAI JN,,,83.11925000000001,25.278149
Rajasthan,RSWT,Ramgarh Shekhawati,NWR,"Ramgarh, Rajasthan",74.993046,28.169397
,BKNA,BAKAINA HALT,,,78.27473099999999,29.035800000000002
,HBD,HOSHANGABAD,,,77.715594,22.75274
,ANA,ASLANA,,,79.319493,23.860522
,BNI,BUDNI,,,77.6812826,22.7871143
Assam,DMGN,DHAMALGAON,NFR,"A T Rd, Assam",94.85656900000001,27.325566
Andhra Pradesh,LKPL,LAKDIKAPUL,SCR,"Hyderabad, Andhra Pradesh",78.463527,17.404048000000003
Madhya Pradesh,BRUD,BARUD,WCR,"Khandwa, Madhya Pradesh",76.814085,22.052142
,DVL,DEVLALI,,,73.83729,19.897509
,JRTR,Jurtara,,,79.76127199999999,22.253004999999998
Madhya Pradesh,REWA,REWA,WCR,"Rewa, Madhya Pradesh",81.250615,24.537122
Gujarat,DOK,DHOLKA,WR,"Bagodara Dholka, Gujarat",72.433842,22.731982
,NDR,NANDESARI,,,73.0952734283,22.418331636999998
,MYG,MIYAGAM KARJAN,,,73.120353,22.050722
Uttar Pradesh,MBA,MAHOBA,NCR,"Junction Point - Khajuraho, Uttar Pradesh",79.849079,25.306914
