timestamp,train_id,train_type,current_station,next_station,speed_kmph,scheduled_arrival,actual_arrival,current_delay_min,weather,signal_status,track_status,platform_available,train_priority,day_of_week,hour_of_day,congestion_level,predicted_delay_min
2024-08-16 04:55,T101,Passenger,S1,S2,72,03:43,03:52,9,Rain,Yellow,Free,Yes,1,Tuesday,4,Low,12
2024-06-12 22:30,T102,Freight,S1,S2,64,10:17,10:39,22,Sunny,Red,Free,Yes,3,Sunday,22,Low,29
2024-01-01 20:45,T103,Express,S4,S5,90,11:36,11:54,18,Sunny,Green,Occupied,No,1,Friday,20,High,20
2024-06-24 17:55,T104,Passenger,S1,S2,93,07:10,07:18,8,Sunny,Green,Occupied,Yes,1,Saturday,17,Low,10
2024-07-30 12:50,T105,Express,S3,S4,98,14:09,14:18,9,Sunny,Green,Free,Yes,1,Saturday,12,Medium,9
2024-07-30 21:30,T106,Freight,S2,S3,60,19:04,19:17,13,Sunny,Yellow,Free,Yes,3,Tuesday,21,Medium,17
2024-07-01 16:05,T107,Express,S3,S4,117,20:19,20:32,13,Fog,Yellow,Free,Yes,1,Sunday,16,Low,14
2024-07-16 02:40,T108,Express,S1,S2,90,04:08,04:31,23,Rain,Red,Free,Yes,1,Saturday,2,Medium,28
2024-09-24 07:45,T109,Express,S3,S4,86,07:00,07:18,18,Sunny,Yellow,Free,No,1,Friday,7,High,20
2024-04-09 21:30,T110,Freight,S4,S5,46,11:27,11:46,19,Sunny,Red,Free,Yes,3,Monday,21,Medium,22
2024-10-22 02:35,T111,Passenger,S3,S4,84,17:06,17:36,30,Sunny,Red,Occupied,No,2,Tuesday,2,High,33
2024-07-22 14:20,T112,Freight,S3,S4,69,13:44,14:14,30,Fog,Red,Free,No,3,Sunday,14,Low,36
2024-03-23 05:05,T113,Freight,S2,S3,41,19:04,19:25,21,Rain,Green,Free,No,3,Friday,5,Low,25
2024-04-15 04:50,T114,Express,S3,S4,100,20:19,20:33,14,Sunny,Red,Occupied,Yes,1,Wednesday,4,Medium,17
2024-03-24 17:20,T115,Express,S3,S4,118,21:06,21:20,14,Fog,Green,Free,Yes,1,Monday,17,Medium,18
2024-05-13 08:00,T116,Freight,S1,S2,42,00:21,00:49,28,Rain,Yellow,Free,No,3,Saturday,8,Medium,31
2024-08-03 21:15,T117,Express,S3,S4,87,21:06,21:21,15,Sunny,Yellow,Occupied,No,1,Wednesday,21,Medium,16
2024-07-23 14:25,T118,Passenger,S1,S2,85,09:52,10:18,26,Rain,Green,Free,Yes,2,Tuesday,14,High,27
2024-03-26 08:00,T119,Freight,S3,S4,45,03:38,03:59,21,Sunny,Yellow,Free,Yes,3,Friday,8,Medium,24
2024-09-25 03:55,T120,Express,S3,S4,105,09:32,09:35,3,Sunny,Green,Free,Yes,1,Saturday,3,Low,3
2024-08-03 13:45,T121,Passenger,S1,S2,74,19:41,20:01,20,Sunny,Green,Occupied,Yes,2,Wednesday,13,High,28
2024-08-13 06:10,T122,Express,S2,S3,104,00:02,00:17,15,Sunny,Green,Occupied,Yes,1,Tuesday,6,Medium,15
2024-03-21 22:40,T123,Freight,S2,S3,45,14:03,14:33,30,Rain,Red,Free,Yes,3,Sunday,22,Medium,36
2024-10-08 14:05,T124,Freight,S4,S5,60,22:18,22:40,22,Sunny,Green,Occupied,Yes,3,Tuesday,14,Low,25
2024-07-30 13:30,T125,Express,S4,S5,111,18:44,19:08,24,Sunny,Red,Free,Yes,1,Monday,13,High,28
2024-06-18 14:10,T126,Express,S3,S4,110,19:34,19:39,5,Sunny,Green,Free,Yes,1,Saturday,14,Medium,5
2024-01-01 12:20,T127,Express,S3,S4,106,13:16,13:38,22,Fog,Green,Occupied,Yes,1,Sunday,12,High,27
2024-04-26 08:25,T128,Express,S1,S2,98,05:38,06:00,22,Rain,Yellow,Free,No,1,Thursday,8,High,24
2024-05-03 18:00,T129,Passenger,S3,S4,93,11:34,11:50,16,Sunny,Green,Free,Yes,2,Sunday,18,High,21
2024-08-22 20:20,T130,Passenger,S4,S5,66,19:51,20:10,19,Fog,Yellow,Free,No,2,Saturday,20,Low,25
2024-09-28 10:10,T131,Passenger,S3,S4,56,15:13,15:21,8,Sunny,Green,Free,Yes,2,Thursday,10,Medium,11
2024-05-08 15:35,T132,Passenger,S2,S3,85,00:05,00:21,16,Sunny,Green,Free,Yes,2,Saturday,15,Medium,17
2024-08-24 03:55,T133,Passenger,S3,S4,74,06:20,06:36,16,Sunny,Yellow,Occupied,Yes,1,Wednesday,3,Medium,20
2024-10-26 22:10,T134,Express,S1,S2,88,20:55,21:06,11,Rain,Green,Free,Yes,1,Friday,22,Medium,12
2024-08-18 18:20,T135,Express,S1,S2,94,02:15,02:30,15,Sunny,Yellow,Free,No,1,Tuesday,18,Low,17
2024-08-04 08:50,T136,Passenger,S1,S2,68,02:10,02:20,10,Sunny,Yellow,Free,Yes,2,Saturday,8,Medium,11
2024-03-18 06:30,T137,Passenger,S3,S4,95,03:34,03:55,21,Sunny,Green,Free,Yes,1,Friday,6,High,25
2024-07-24 14:05,T138,Passenger,S3,S4,87,19:02,19:18,16,Fog,Yellow,Free,Yes,1,Friday,14,Medium,21
2024-07-22 02:35,T139,Freight,S4,S5,60,11:26,11:52,26,Sunny,Yellow,Occupied,Yes,3,Sunday,2,Medium,31
2024-09-12 14:30,T140,Freight,S1,S2,61,01:12,01:29,17,Sunny,Yellow,Free,Yes,3,Sunday,14,Low,18
2024-09-21 00:40,T141,Express,S2,S3,95,13:05,13:24,19,Sunny,Red,Free,No,1,Wednesday,0,Medium,24
2024-08-08 23:10,T142,Passenger,S4,S5,67,02:17,02:45,28,Rain,Red,Free,No,1,Friday,23,Low,33
2024-10-17 06:55,T143,Express,S4,S5,114,07:36,07:49,13,Sunny,Red,Free,Yes,1,Wednesday,6,Medium,17
2024-05-27 13:50,T144,Express,S4,S5,85,04:04,04:24,20,Sunny,Red,Free,Yes,1,Saturday,13,Medium,22
2024-04-02 13:05,T145,Passenger,S3,S4,69,20:45,21:15,30,Fog,Green,Occupied,No,1,Saturday,13,High,38
2024-04-09 07:35,T146,Express,S1,S2,109,18:09,18:28,19,Sunny,Yellow,Free,Yes,1,Friday,7,High,23
2024-04-03 15:05,T147,Passenger,S4,S5,74,07:24,07:48,24,Rain,Yellow,Occupied,Yes,2,Tuesday,15,Medium,28
2024-01-26 20:50,T148,Passenger,S2,S3,95,01:19,01:32,13,Rain,Green,Free,Yes,2,Monday,20,Low,16
2024-02-05 08:10,T149,Freight,S3,S4,56,08:58,09:26,28,Fog,Green,Occupied,No,3,Friday,8,Low,34
2024-03-29 23:50,T150,Express,S1,S2,114,08:37,08:44,7,Sunny,Yellow,Free,Yes,1,Wednesday,23,Medium,9
2024-04-28 03:15,T151,Express,S1,S2,104,17:08,17:18,10,Sunny,Green,Occupied,Yes,1,Thursday,3,Medium,13
2024-03-12 03:50,T152,Express,S4,S5,100,11:34,11:55,21,Fog,Yellow,Free,Yes,1,Sunday,3,High,25
2024-08-20 07:25,T153,Freight,S2,S3,58,04:50,05:11,21,Fog,Green,Occupied,Yes,3,Tuesday,7,Low,27
2024-05-09 23:30,T154,Express,S2,S3,101,16:07,16:20,13,Rain,Green,Occupied,Yes,1,Monday,23,Low,14
2024-02-01 14:05,T155,Passenger,S1,S2,86,02:20,02:36,16,Rain,Green,Free,Yes,2,Saturday,14,Low,19
2024-10-13 06:30,T156,Express,S1,S2,120,14:56,15:01,5,Sunny,Green,Free,Yes,1,Saturday,6,Low,3
2024-09-08 02:05,T157,Passenger,S4,S5,59,13:06,13:22,16,Rain,Green,Free,Yes,2,Monday,2,Medium,20
2024-06-07 21:35,T158,Express,S1,S2,117,07:54,08:13,19,Sunny,Red,Free,No,1,Tuesday,21,Medium,21
2024-03-14 12:05,T159,Passenger,S2,S3,64,04:47,05:09,22,Rain,Green,Occupied,Yes,2,Friday,12,Low,25
2024-02-02 01:50,T160,Freight,S2,S3,45,02:17,02:29,12,Sunny,Green,Free,Yes,3,Sunday,1,Low,12
2024-01-16 01:15,T101,Passenger,S4,S5,88,12:38,12:51,13,Sunny,Green,Occupied,No,2,Saturday,1,Low,13
2024-09-10 21:25,T102,Passenger,S2,S3,87,02:25,02:52,27,Fog,Green,Free,No,2,Friday,21,Medium,29
2024-02-11 11:05,T103,Freight,S4,S5,66,13:54,14:16,22,Sunny,Green,Free,Yes,3,Saturday,11,High,26
2024-03-22 20:10,T104,Passenger,S3,S4,77,07:06,07:23,17,Sunny,Green,Free,No,2,Saturday,20,Low,19
2024-06-03 14:05,T105,Passenger,S3,S4,95,15:28,15:40,12,Rain,Yellow,Free,Yes,1,Wednesday,14,Medium,18
2024-10-12 20:15,T106,Passenger,S1,S2,83,10:38,10:45,7,Sunny,Green,Free,Yes,2,Sunday,20,Low,6
2024-08-23 19:10,T107,Express,S4,S5,113,11:23,11:42,19,Fog,Green,Occupied,Yes,1,Friday,19,Low,24
